com.samsung.health.step_count
time_offset,end_time,speed,pkg_name,start_time,count,sample_position_type,calorie,distance,datauuid,deviceuuid,update_time,create_time
-14400000,2016-07-24 23:12:00.000,1.5218762,com.sec.android.app.shealth,2016-07-24 23:11:00.000,25,,1.53,18.789999,6b99aa68-0bd6-43fd-ad3e-bc01c26a9e71,SD5aE64hxX,2016-07-24 23:11:27.009,2016-07-24 23:11:04.417
-14400000,2016-07-24 23:19:00.000,1.4444444,com.sec.android.app.shealth,2016-07-24 23:18:00.000,21,,0.93,14.73,9e82bc3c-4959-4af4-b094-c639555e07ab,SD5aE64hxX,2016-07-24 23:18:55.094,2016-07-24 23:18:55.094
-14400000,2016-07-25 00:43:00.000,1.5891213,com.sec.android.app.shealth,2016-07-25 00:42:00.000,48,,2.2499993,38.80001,cd6678bf-05b2-477a-b861-387164673453,SD5aE64hxX,2016-07-25 00:42:31.642,2016-07-25 00:42:10.977
-14400000,2016-07-25 00:45:00.000,1.5688537,com.sec.android.app.shealth,2016-07-25 00:44:00.000,14,,0.6,11.110001,a6c0c522-b3e8-4d18-b4a2-4e33c126806c,SD5aE64hxX,2016-07-25 00:44:32.031,2016-07-25 00:44:30.551
-14400000,2016-07-25 01:36:00.000,1.8305078,com.sec.android.app.shealth,2016-07-25 01:35:00.000,40,,1.7699999,33.37,690a8810-63bf-45fa-95c0-91ebb935e514,SD5aE64hxX,2016-07-25 01:35:57.811,2016-07-25 01:35:39.902
-14400000,2016-07-25 01:56:00.000,1.9806992,com.sec.android.app.shealth,2016-07-25 01:55:00.000,28,,1.2500001,23.349998,12216f31-fdb1-4b50-8acf-b834c44d2612,SD5aE64hxX,2016-07-25 01:55:27.123,2016-07-25 01:55:08.915
-14400000,2016-07-25 08:42:00.000,1.75,com.sec.android.app.shealth,2016-07-25 08:41:00.000,8,,0.37,6.57,d8a0fc0e-f612-475e-be57-f760292c7e6f,SD5aE64hxX,2016-07-25 08:55:01.784,2016-07-25 08:55:01.784
-14400000,2016-07-25 08:51:00.000,2.3055556,com.sec.android.app.shealth,2016-07-25 08:50:00.000,58,,3.52,53.87,f1977136-1ca7-4876-90d5-de641750abbd,SD5aE64hxX,2016-07-25 08:55:01.950,2016-07-25 08:55:01.950
-14400000,2016-07-25 08:58:00.000,2.0555556,com.sec.android.app.shealth,2016-07-25 08:57:00.000,7,,0.31,5.91,a7e21dc6-8ad2-4166-a173-566d29025fd9,SD5aE64hxX,2016-07-25 08:58:02.245,2016-07-25 08:58:02.245
-14400000,2016-07-25 08:59:00.000,2.3564928,com.sec.android.app.shealth,2016-07-25 08:58:00.000,50,,2.75,46.09,bcc8b10b-196a-48eb-afde-2463154705ad,SD5aE64hxX,2016-07-25 08:59:43.909,2016-07-25 08:58:02.530
-14400000,2016-07-25 09:31:00.000,1.5833333,com.sec.android.app.shealth,2016-07-25 09:30:00.000,34,,1.64,27.06,7d2a987e-ec2b-4c1d-bcbb-167412202cb7,SD5aE64hxX,2016-07-25 09:35:01.684,2016-07-25 09:35:01.684
-14400000,2016-07-25 09:32:00.000,1.4722222,com.sec.android.app.shealth,2016-07-25 09:31:00.000,104,,5.31,81.27,d2510933-5980-49dc-85d2-4d7f059ead35,SD5aE64hxX,2016-07-25 09:35:01.834,2016-07-25 09:35:01.834
-14400000,2016-07-25 09:33:00.000,1.6111112,com.sec.android.app.shealth,2016-07-25 09:32:00.000,92,,4.91,75.52,18f839a1-b722-49ba-b615-1a604d2bb036,SD5aE64hxX,2016-07-25 09:35:01.945,2016-07-25 09:35:01.945
-14400000,2016-07-25 09:34:00.000,1.3611112,com.sec.android.app.shealth,2016-07-25 09:33:00.000,40,,2.02,31.93,1ed933b2-a34d-4291-a3fe-111769d66246,SD5aE64hxX,2016-07-25 09:35:02.048,2016-07-25 09:35:02.048
-14400000,2016-07-25 09:35:00.000,1.5,com.sec.android.app.shealth,2016-07-25 09:34:00.000,89,,4.44,71.58,7833b33b-ef9d-4b7d-a7c9-a4a21aa8d367,SD5aE64hxX,2016-07-25 09:35:02.148,2016-07-25 09:35:02.148
-14400000,2016-07-25 09:36:00.000,1.5833334,com.sec.android.app.shealth,2016-07-25 09:35:00.000,113,,11.54,60.75,6d130315-c683-4a94-ad01-54680cc7f4ee,SD5aE64hxX,2016-07-25 09:37:30.002,2016-07-25 09:37:30.002
-14400000,2016-07-25 09:37:00.000,1.7222222,com.sec.android.app.shealth,2016-07-25 09:36:00.000,9,,0.45,7.4,6ce51314-d154-4e36-afff-7483c6e77bf9,SD5aE64hxX,2016-07-25 09:37:30.140,2016-07-25 09:37:30.140
-14400000,2016-07-25 11:37:00.000,2.2222223,com.sec.android.app.shealth,2016-07-25 11:36:00.000,27,,1.91,27.92,52e2a48c-9f1d-4aed-87d8-451a88fd9c37,SD5aE64hxX,2016-07-25 11:37:31.843,2016-07-25 11:37:31.843
